x_wtime	x_rtime	x_size	wtime(s)	rtime(s)	size(B)	kwargs
1.04	0.91	1.00	2.10	0.19	527883320	
11.23	12.95	0.79	22.61	2.72	418421427	gzip
2.12	5.38	1.00	4.28	1.13	525460561	lzf
2.19	8.48	0.78	4.41	1.78	413065378	scaleoffset
7.39	15.05	0.77	14.87	3.16	403841668	scaleoffset+gzip
3.02	8.66	0.78	6.08	1.82	412653629	scaleoffset+lzf
1.13	1.69	1.00	2.28	0.35	527883320	byteshuffle
6.90	6.80	0.70	13.90	1.43	366895195	byteshuffle+gzip
2.09	4.43	0.82	4.20	0.93	434552392	byteshuffle+lzf
2.26	9.07	0.78	4.56	1.90	413065402	byteshuffle+scaleoffset
7.69	15.62	0.77	15.49	3.28	404077271	byteshuffle+scaleoffset+gzip
3.02	9.25	0.78	6.08	1.94	412653798	byteshuffle+scaleoffset+lzf
1.11	1.59	1.00	2.23	0.33	527883320	bitshuffle
1.17	1.80	0.74	2.36	0.38	390987495	bitshuffle+lz4
1.03	1.01	1.00	2.07	0.21	527200382	lz4
1.29	2.85	0.79	2.60	0.60	416709700	zstd
1.03	0.94	1.00	2.07	0.20	527883320	blosc+blosclz+0sh
1.57	2.61	0.87	3.15	0.55	458438347	blosc+blosclz+Bsh
1.07	0.97	1.00	2.16	0.20	527883320	blosc+blosclz+bsh
1.07	0.94	1.00	2.16	0.20	527120922	blosc+lz4+0sh
1.31	1.87	0.85	2.63	0.39	450420924	blosc+lz4+Bsh
1.10	0.94	1.00	2.22	0.20	527120922	blosc+lz4+bsh
4.66	1.23	1.00	9.38	0.26	525304316	blosc+lz4hc+0sh
7.13	1.59	0.76	14.37	0.33	403198524	blosc+lz4hc+Bsh
4.69	1.39	1.00	9.44	0.29	525304316	blosc+lz4hc+bsh
11.86	14.17	0.79	23.88	2.97	418710050	blosc+zlib+0sh
11.28	5.65	0.68	22.72	1.18	361219997	blosc+zlib+Bsh
11.47	13.81	0.79	23.11	2.90	418710050	blosc+zlib+bsh
3.97	3.80	0.79	7.99	0.80	416265416	blosc+zstd+0sh
9.90	2.88	0.70	19.94	0.61	368839149	blosc+zstd+Bsh
3.88	3.56	0.79	7.82	0.75	416265416	blosc+zstd+bsh
